"election_name","election_date","election_type","locality_name","locality_code","office_name","referendum_title","precinct_name","precinct_code","candidate_name","last_name","candidateId","officeId","referendumId","districtId","DESCRIPTION","district_type","party","office_ballot_order","candidate_ballot_order","total_votes","negative_votes","in_precinct",
"2015 November General","2015-11-03 00:00:00.000","General","PRINCE WILLIAM COUNTY","153","Chairman - Board of Supervisors","","## Provisional","###PROV","Rick H. Smith III","Smith","671613235","1199135063","","177380837","PRINCE WILLIAM COUNTY","Locality","","15","1","23","","## Provisional",
"2015 November General","2015-11-03 00:00:00.000","General","PRINCE WILLIAM COUNTY","153","Chairman - Board of Supervisors","","## Provisional","###PROV","Corey A. Stewart","Stewart","1308259878","1199135063","","177380837","PRINCE WILLIAM COUNTY","Locality","","15","2","15","","## Provisional",
